Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
2253.0,739.0,2007.0,1667.0,7857.0,3496.0,34.0,350.0,123.0,227.0,841.0,991.0,841.0,1191.0,165.0,0.0,24.0,240.0,984.0,942.0,31.0,6.0,0.0,73.0,73.0,411.0,0.0,8037.0,52536.0,1644.0,1211.0,1831.0,1873.0,1904.0,1724.0,1839.0,0.0,29.0,54.0,22.0,0,0,0,0,0,1627.0
925.0,247.0,638.0,584.0,1230.0,4459.0,214.0,39.0,29.0,10.0,449.0,417.0,449.0,488.0,16.0,0.0,11.0,48.0,554.0,887.0,7.0,5.0,6.0,194.0,200.0,72.0,2.0,1749.0,1793.0,528.0,612.0,677.0,655.0,649.0,672.0,1423.0,5.0,106.0,220.0,24.0,37333,25449,9936,7392,19974,585.0
1511.0,611.0,1491.0,1097.0,2674.0,2715.0,192.0,216.0,89.0,127.0,551.0,708.0,551.0,767.0,357.0,0.0,11.0,136.0,1070.0,898.0,41.0,2.0,0.0,117.0,117.0,319.0,0.0,7277.0,11989.0,1072.0,1171.0,1506.0,1476.0,1284.0,1423.0,1343.0,11.0,0.0,17.0,15.0,0,0,0,0,0,1095.0
1043.0,278.0,554.0,485.0,1413.0,3926.0,335.0,62.0,52.0,10.0,373.0,324.0,373.0,435.0,0.0,0.0,15.0,61.0,470.0,1025.0,2.0,2.0,0.0,74.0,74.0,30.0,0.0,2488.0,2268.0,507.0,507.0,575.0,650.0,618.0,616.0,842.0,46.0,116.0,191.0,11.0,36842,25331,9650,7473,19717,484.0
1279.0,896.0,1255.0,1115.0,1397.0,1509.0,36.0,190.0,76.0,114.0,685.0,695.0,685.0,875.0,0.0,0.0,9.0,85.0,927.0,1088.0,21.0,0.0,0.0,390.0,390.0,213.0,29.0,2289.0,14930.0,791.0,780.0,1249.0,1296.0,1309.0,1246.0,1265.0,45.0,0.0,40.0,15.0,0,0,0,0,0,927.0
917.0,296.0,625.0,617.0,1001.0,2327.0,151.0,66.0,56.0,10.0,494.0,440.0,494.0,560.0,0.0,0.0,8.0,58.0,549.0,992.0,7.0,2.0,0.0,105.0,105.0,44.0,0.0,1362.0,7660.0,347.0,403.0,578.0,600.0,581.0,419.0,749.0,193.0,139.0,168.0,33.0,36356,25214,9373,7556,19463,510.0
1596.0,1122.0,1266.0,1249.0,1229.0,1499.0,23.0,156.0,60.0,96.0,876.0,750.0,876.0,1032.0,0.0,0.0,2.0,57.0,856.0,977.0,17.0,3.0,0.0,178.0,178.0,170.0,0.0,3391.0,4391.0,795.0,904.0,1179.0,1161.0,1283.0,1395.0,1561.0,5.0,0.0,15.0,19.0,0,0,0,0,0,1030.0
854.0,264.0,581.0,565.0,958.0,2930.0,53.0,59.0,48.0,11.0,502.0,450.0,502.0,561.0,2.0,0.0,12.0,63.0,530.0,982.0,12.0,5.0,0.0,344.0,344.0,18.0,0.0,2118.0,3730.0,383.0,446.0,578.0,620.0,573.0,460.0,702.0,79.0,145.0,131.0,27.0,35877,25098,9103,7639,19212,555.0
1882.0,1393.0,1333.0,1453.0,2233.0,2853.0,14.0,110.0,56.0,54.0,680.0,748.0,680.0,790.0,4.0,0.0,17.0,120.0,936.0,961.0,50.0,0.0,0.0,423.0,423.0,164.0,0.0,8522.0,50739.0,794.0,972.0,1531.0,1579.0,1522.0,1554.0,1486.0,115.0,0.0,7.0,13.0,0,0,0,0,0,957.0
743.0,386.0,562.0,576.0,664.0,1536.0,32.0,42.0,36.0,6.0,425.0,406.0,425.0,467.0,0.0,0.0,25.0,93.0,471.0,946.0,8.0,4.0,0.0,58.0,58.0,34.0,0.0,4298.0,17154.0,506.0,538.0,613.0,653.0,689.0,700.0,815.0,61.0,95.0,126.0,12.0,35404,24981,8841,7723,18965,502.0
